!,š,100v.5.8
!89,šbi,115v.23.5
!9,ši,37r.10.5
!?s,š?l,1r.6.7
!A,šk',37v.9.3
!Co,šθo,100v.3.5
!Cs,šθl,47v.5.2
!H,šgʰ,25v.7.5
!Kae,šjum,8v.2.1
!c89,škbi,41r.6.9
!c9,ški,68v1.outer_ring.3
!cH9,škgʰi,46r.2.12
!cae,škum,89v2.labels_top.5
!cam,škuŋg,21v.7.6
!cckC(,škkħθi,85r1.24.8
!ch9,škci,29v.7.8
!coe 2c9,škom ški,3r.11.4
!cohan,škocurg,111v.1.6
!coy,škos,rose.west_ring.6
!cs,škl,72r3.5th_ring.19
!o,šo,17v.20.5
!o,šo,90r1.5.4
!o 9k,šo iħ,101v2-v1.4.22
!o8am,šobuŋg,85r1.23.2
!oF9,šoti,86v3.center_1.3
!oe,šom,1r.6.4
!oe,šom,15v.8.6
!oe,šom,22v.14.3
!oe,šom,86v3.center_4.5
!oeom,šomoŋg,52v.7.2
!oh1C9,šocšθi,1r.19.3
!ohaZ,šocuŋs,66r.10.7
!oy,šos,4r.8.1
!oy,šos,18v.1.2
!oy h19,šos cši,49r.1.8
!oy89,šosbi,11v.1.3
!oy9,šosi,1r.1.6
#9,ši,13r.5.2
#9,ši,22v.1.7
#C h1c9,šθ cški,87r.3.6
#C9,šθi,82r.31.7
#Ch9,šθci,111r.2.2
#am,šuŋg,36r.1.6
#cW19,škcši,41r.3.7
#cam,škuŋg,30v.1.7
#ch 8an,škc burg,81v.1.9
#coe,škom,79r.31.3
#o,šo,15v.7.3
#o,šo,30r.6.2
#o,šo,30v.1.4
#o89,šobi,22v.9.2
#o8ay9,šobusi,1r.6.9
#oe,šom,4r.8.3
#oe,šom,8r.17.5
#oe,šom,22r.7.2
#oe,šom,47r.6.5
#op,šon,24r.19.4
#oy,šos,8r.8.7
#oy,šos,29v.1.2
$,l,28v.9.4
$,l,34r.7.8
$,l,51v.4.5
$,l,76r.left_text.9
$,l,77r.33.10
$,l,79v.7.7
$,l,rose.center_ring_2.1
$,l,93v.10.4
$am,luŋg,108r.30.7
$ap,lun,83r.10.11
$ay,lus,17v.17.2
$hae,lcum,83r.10.6
$oe2c9y,lomškis,87r.8.1
%,š,54r.5.2
%79,šfi,26v.1.10
%8am,šbuŋg,103r.16.3
%9,ši,46r.10.2
%9 Hoe,ši gʰom,72r3.5th_ring.22
%C,šθ,113r.40.9
%C9,šθi,26r.3.9
%C9,šθi,76r.46.2
%C9,šθi,86v4.2.13
%C9,šθi,100r.1.7
%ChC9,šθcθi,79r.4.5
%Cs,šθl,76v.29.7
%H89,šgʰbi,33v.7.3
%H9,šgʰi,49v.10.3
%H9,šgʰi,103r.31.6
%Jo oy,šdo os,106v.37.6
%ae,šum,103v.21.2
%ap,šun,24r.17.3
%ay,šus,58r.12.9
%ay,šus,77v.29.2
%c,šk,54r.6.8
%c,šk,82r.31.2
%c79,škfi,43v.6.6
%c79,škfi,76v.23.5
%c79,škfi,80v.32.8
%c79,škfi,82r.19.7
%c79,škfi,rose.neast_ring.21
%c79,škfi,103r.22.6
%c8,škb,108v.31.3
%c8,škb,111r.6.6
%c89,škbi,72v1.outer_ring.31
%c89,škbi,76v.41.9
%c89,škbi,77v.21.2
%c89,škbi,81r.26.6
%c89,škbi,103v.7.8
%c89,škbi,103v.17.6
%c89,škbi,114r.11.5
%c89,škbi,116r.25.3
%c8aikan,škburħurg,111v.11.9
%c9,ški,4v.5.5
%c9,ški,21v.1.6
%c9,ški,39r.1.9
%c9,ški,72v2.3rd_ring.11
%c9,ški,82v.5.6
%c9,ški,85r1.17.2
%c9,ški,90v2.7.1
%c9,ški,103r.12.2
%c9,ški,103r.26.6
%c9,ški,103v.36.2
%c9,ški,107r.26.2
%c9,ški,113v.47.8
%c9 hc89,ški ckbi,107v.9.2
%cAe2o,škk'mšo,106v.7.2
%cK9,škji,80r.6.7
%cax,škus,106v.9.9
%cay,škus,79r.36.10
%cay,škus,113v.45.3
%cc9,škki,69r.2.5
%cco,škko,57r.9.2
%chc9,škcki,66r.2.2
%cj,škh,70r2.1.4
%co,ško,58v.35.8
%co,ško,93r.2.6
%co,ško,115v.41.2
%co e,ško m,106v.25.2
%co8ae,škobum,89r2.8.12
%coH9,škogʰi,96r.4.7
%coJ9,škodi,113r.37.4
%coKap,škojun,58r.35.9
%coc,škok,105v.27.1
%coe,škom,99r.2.5
%coe,škom,102r1.3.2
%coe,škom,104v.27.4
%coeh19,škomcši,113r.48.5
%coeo,škomo,75v.15.15
%cos,škol,89v2.10.8
%cox,škos,100r.7.2
%coy,škos,66r.15.9
%coy,škos,96r.5.5
%coy,škos,101r1-r2.7.14
%coy,škos,103r.13.2
%d9,štˤi,107r.8.2
%e,šm,107r.35.2
%o,šo,20v.4.1
%o,šo,101r1-r2.6.2
%o,šo,111v.12.7
%o 8am,šo buŋg,104v.29.2
%o am,šo uŋg,113r.4.3
%o8,šob,115r.31.1
%o89,šobi,101r1-r2.6.3
%o89 jc%9,šobi hkši,26v.9.3
%oam,šouŋg,36v.1.3
%oe,šom,8r.17.7
%oe,šom,47r.6.7
%oe,šom,72v2.3rd_ring.7
%oe,šom,99r.2.8
%oe,šom,106v.7.5
%oe Koe,šom jom,4r.2.3
%oe89,šombi,83v.12.11
%oehay,šomcus,103r.16.2
%oh19,šocši,54r.4.3
%oj5c89,šohškbi,85r1.23.3
%oy,šos,8v.14.1
%oy,šos,16r.2.4
%oy,šos,23v.6.2
%oy,šos,37r.6.1
%oy,šos,52v.11.2
%oy 2oy29,šos šosši,49r.10.4
%oy1am,šosšuŋg,35r.9.5
%oyae,šosum,85r2.quad_2_4.3
&,b,57v.2nd_ring.3
&19,bši,27v.2.6
&1oh19,bšocši,27v.3.3
&W2c9,bcški,95v1.6.5
&am,buŋg,66r.19.4
&an,burg,111v.18.14
&ayay9,bususi,82r.label_bottom_1.5
&az,burs,1v.5.3
(,i,19v.10.5
(,i,57v.2nd_ring.15
(,i,70r2.3.2
(,i,101r1-r2.9.21
( 9ham,i icuŋg,58v.11.6
( aZ,i uŋs,105r.12.1
(189h189,išbicšbi,41r.3.4
(1c9,iški,8r.14.1
(1c9,iški,102v1.11.2
(1cs,iškl,31r.12.2
(3coe,iškom,21r.12.4
(7an,ifurg,1r.20.1
(8ae,ibum,72r1.outer_ring.27
(8ap,ibun,39v.9.7
(Ho89,igʰobi,22r.11.2
(L9,ikʰi,57r.10.7
(c1oh9,ikšoci,41r.2.7
(h19,icši,17r.8.4
(h19,icši,19v.2.5
(h19,icši,29r.2.2
(h1A8am,icšk'buŋg,51r.6.3
(h1oe,icšom,19v.13.2
(h1oy,icšos,44v.5.5
(h9,ici,53r.4.2
(hAm,ick'ŋg,37v.19.2
(hC29,icθši,58r.36.6
(hae,icum,55v.10.9
(hae8,icumb,51r.6.4
(ham,icuŋg,14r.8.5
(ham,icuŋg,29v.7.4
(ham,icuŋg,39r.5.3
(ham,icuŋg,87v.13.4
(hay,icus,54v.3.2
(hay,icus,58r.38.5
(haz,icurs,105r.32.4
(hcc(,ickki,31r.11.9
(hcc9,ickki,72r3.outer_ring.4
(hcoe,ickom,99r.14.1
(hcoy,ickos,73v.2nd_ring.5
(hicoe,icrkom,51r.13.3
(hoe,icom,89v1.13.3
(j1c89,ihškbi,51r.1.4
(k1ae9,iħšumi,58r.14.4
(k1c9,iħški,5v.1.3
(k1c9,iħški,65v.6.2
(k1cch9,iħškkci,41r.4.2
(k1oe,iħšom,100v.labels_3.2
(kaijop,iħurhon,58r.34.7
(kcc9,iħkki,89v1.2.8
(kccoe 89,iħkkom bi,101r1-r2.3.11
(kco8,iħkob,72v1.2nd_ring.19
(ko,iħo,1r.16.1
(koe hae,iħom cum,58r.38.9
(o,io,65v.6.1
(o8am,iobuŋg,6r.13.2
(oh1o,iocšo,25v.4.2
(oh9,ioci,79r.8.7
(ohc89,iockbi,41r.3.3
(ohoy,iocos,19v.10.4
(Ó(,i?i,84v.labels_bottom_right.5
*,n,18r.11.5
*,n,23r.3.6
*,n,23v.8.5
*,n,23v.9.10
*,n,26v.3.12
*,n,45r.8.9
*,n,57v.outer_ring.11
*,n,67v2.outer_ring_north_1.7
*,n,93r.29.5
+,š,66r.glyph_column.4
+9hcc9,šickki,30r.13.4
+C9,šθi,76r.38.8
+Ch9,šθci,80v.3.6
+Kam,šjuŋg,1r.17.2
+aN,šug,15r.12.6
+ay,šus,89r1.1.2
+c,šk,17v.17.3
+c,šk,112r.17.2
+c8,škb,76r.7.1
+c89,škbi,66r.21.5
+c89,škbi,78r.1.2
+c9,ški,11r.1.6
+c9,ški,77v.32.10
+c9,ški,115v.29.6
+c9,ški,116r.40.2
+cH9,škgʰi,76v.28.6
+cam,škuŋg,47r.1.3
+cay,škus,1r.20.6
+cc8(,škkbi,78v.26.3
+cc9,škki,7r.3.3
+cf!oyo,škħšoso,85r1.11.8
+ch,škc,103r.2.2
+chay,škcus,84r.labels_top_1.3
+choe,škcom,66r.29.7
+ck9,škħi,71v.3rd_ring.4
+co,ško,4v.10.2
+co,ško,89r1.10.2
+co,ško,93r.11.5
+co,ško,96r.9.2
+co,ško,101r1-r2.3.21
+co,ško,105r.24.9
+co Hc9,ško gʰki,104r.23.2
+co79,škofi,58r.23.5
+coAy,škok's,101r1-r2.7.13
+coe,škom,77v.3.8
+coe,škom,103r.40.4
+coe8ap,škombun,3r.9.3
+coeam,škomuŋg,72r1.3rd_ring.8
+cog2oe,škohšom,1r.15.4
+cos,škol,29r.5.3
+cosap,školun,67r1.center.7
+cs,škl,57v.3rd_ring.4
+csc,šklk,90v2.1.6
+o,šo,3r.9.1
+o,šo,28v.7.6
+o,šo,42r.14.1
+o,šo,47v.4.4
+o,šo,54r.7.5
+o,šo,58v.14.6
+o,šo,102v2.11.2
+o8,šob,1r.3.5
+o8,šob,114v.22.2
+o89,šobi,29v.6.8
+o89,šobi,87v.1.4
+o89,šobi,104r.16.11
+o9,šoi,102v2.10.5
+o9k9,šoiħi,11r.1.8
+oe,šom,8v.3.6
+oe,šom,42v.10.4
+oe,šom,44v.1.7
+oe,šom,113r.17.3
+om,šoŋg,14r.1.3
1,š,30r.4.6
1,š,75r.44.10
1,š,103v.15.5
1,š,108r.8.8
1 19,š ši,101r1-r2.6.10
1 2gaz an,š šhurs urg,rose.west_center.6
1 4,š ñ,72r2.outer_ring.27
1 4h5C(,š ñcšθi,105r.15.1
1 7oy,š fos,77v.35.3
1 H9,š gʰi,84r.12.8
1 H9,š gʰi,103v.44.8
1 Ka*,š jun,95r2.8.9
1 Y,š s,111r.13.6
1 ae,š um,116r.50.2
1 am,š uŋg,111r.53.6
1 ax an,š us urg,108v.51.6
1 ay am,š us uŋg,104r.21.5
1 c8 an,š kb urg,114v.8.6
1 c9,š ki,49v.24.3
1 cck,š kkħ,49r.8.4
1 co hco 8ae 1oe,š ko cko bum šom,72r2.outer_ring.10
1 coe 89,š kom bi,80v.17.5
1 dk1oe,š tˤħšom,68v3.3.10
1 e ae,š m um,106r.29.3
1 hAy,š ck's,16v.6.2
1 ham,š cuŋg,28v.6.2
1 hcco89,š ckkobi,66v.12.10
1 l9,š ɣi,102v2.1.5
1 okam,š oħuŋg,2r.4.5
1 s,š l,3v.4.2
1!9,šši,29v.5.5
1(,ši,58r.28.4
1(,ši,78r.27.11
1189,ššbi,115r.18.6
118ap,ššbun,rose.seast_ring.17
119,šši,104v.38.3
11C9,ššθi,113r.40.4
11ck,šškħ,70r2.2.6
11ok9,ššoħi,29r.2.7
11s,ššl,72r2.center_ring.7
11s9,ššli,56r.1.2
129,šši,77v.4.4
12o,ššo,115r.22.2
12oe,ššom,38v.8.4
12ok9,ššoħi,9v.11.2
14cos,šñkol,100r.1.6
169,šbi,73v.3rd_ring.7
16am,šbuŋg,114r.6.9
16ay,šbus,108r.50.7
17,šf,94v.3.2
17 am,šf uŋg,105r.18.7
179,šfi,26r.5.3
179,šfi,33v.6.6
179,šfi,33v.6.9
179,šfi,34v.9.8
179,šfi,34v.10.7
179,šfi,39r.2.7
179,šfi,39r.5.2
179,šfi,39r.11.6
179,šfi,40r.3.3
179,šfi,40r.10.3
179,šfi,40v.14.10
179,šfi,48v.1.10
179,šfi,48v.10.5
179,šfi,50v.2.6
179,šfi,55r.3.6
179,šfi,55r.6.7
179,šfi,69r.outside_ring.26
179,šfi,70r2.12.6
179,šfi,76r.34.10
179,šfi,77v.7.10
179,šfi,77v.8.3
179,šfi,78v.11.7
179,šfi,80v.42.8
179,šfi,82r.14.9
179,šfi,82v.15.6
179,šfi,84v.32.8
179,šfi,85r1.30.7
179,šfi,86v6.3.12
179,šfi,86v5.3.2
179,šfi,86v3.north_5.3
179,šfi,86v3.east_2.6
179,šfi,86v3.east_3.8
179,šfi,94v.11.5
179,šfi,94v.12.3
179,šfi,95r2.1.3
179,šfi,95r2.6.6
179,šfi,95v1.4.10
179,šfi,95v1.7.7
179,šfi,106v.12.5
179,šfi,107r.31.3
179,šfi,107r.31.10
179,šfi,111r.6.10
179,šfi,112r.13.3
179 9h9,šfi ici,68r3.pieslice_3.3
179289,šfišbi,33v.7.9
179han,šficurg,95v2.7.3
17C9,šfθi,104v.5.2
17ae,šfum,33r.5.10
17ae,šfum,34v.3.3
17ae,šfum,41v.7.5
17ae,šfum,46v.4.3
17ae,šfum,86v3.south_2.3
17ae,šfum,106v.24.6
17ae haz,šfum curs,106r.45.6
17aeoy,šfumos,46r.6.6
17am,šfuŋg,34v.2.6
17am,šfuŋg,rose.neast_labels_4.2
17am,šfuŋg,95r1.7.5
17an,šfurg,34r.2.6
17an,šfurg,77v.36.7
17ap,šfun,39r.14.10
17ap,šfun,46r.14.7
17ap,šfun,46v.11.3
17ap,šfun,46v.11.5
17ap,šfun,95v1.6.10
17ap,šfun,106v.4.7
17ay,šfus,34v.8.9
17ay,šfus,39r.13.2
17ay,šfus,67r1.outer_ring.30
17ay,šfus,86v3.north_6.6
17ay,šfus,rose.center_ring_2.26
17ay,šfus,107v.22.6
17cm,šfkŋg,113v.16.5
17i9,šfri,111v.25.4
17o89,šfobi,46v.4.6
17oeom,šfomoŋg,55r.4.10
17s,šfl,85r2.quad_4_3.2
18,šb,34r.3.5
18,šb,36v.12.4
18,šb,46r.10.4
18,šb,115r.6.12
18,šb,116r.10.1
18(,šbi,66r.21.3
18189,šbšbi,86v4.3rd_ring.23
1819,šbši,41r.4.1
181oe,šbšom,68r3.radial_3.2
1879,šbfi,115v.32.6
189,šbi,1r.12.6
189,šbi,9r.6.8
189,šbi,15r.6.3
189,šbi,26r.5.4
189,šbi,33v.6.5
189,šbi,34r.7.3
189,šbi,34v.1.2
189,šbi,34v.10.2
189,šbi,39r.4.2
189,šbi,39r.7.5
189,šbi,39v.1.2
189,šbi,39v.2.9
189,šbi,39v.10.6
189,šbi,40r.6.7
189,šbi,43r.7.6
189,šbi,43v.3.7
189,šbi,43v.10.4
189,šbi,43v.11.10
189,šbi,46r.5.5
189,šbi,46r.7.8
189,šbi,46r.12.11
189,šbi,46v.5.4
189,šbi,47r.1.6
189,šbi,47r.6.9
189,šbi,47v.11.3
189,šbi,48v.10.8
189,šbi,56r.4.7
189,šbi,58r.30.5
189,šbi,66r.4.3
189,šbi,66r.21.7
189,šbi,68v2.radial_4.2
189,šbi,69v.3rd_ring.4
189,šbi,70r2.13.4
189,šbi,73r.2nd_ring.14
189,šbi,75r.10.3
189,šbi,76r.4.10
189,šbi,76r.21.11
189,šbi,76v.17.11
189,šbi,77r.2.6
189,šbi,77v.6.3
189,šbi,81v.3.8
189,šbi,81v.12.3
189,šbi,81v.16.11
189,šbi,83r.35.5
189,šbi,84v.labels_top_1.3
189,šbi,84v.17.6
189,šbi,84v.29.4
189,šbi,85r1.30.6
189,šbi,85r2.quad_1_1.4
189,šbi,86v4.3rd_ring.8
189,šbi,86v6.15.6
189,šbi,86v6.42.8
189,šbi,86v5.8.10
189,šbi,86v3.west_3.4
189,šbi,rose.seast_center_12.3
189,šbi,89v1.10.9
189,šbi,94r.8.4
189,šbi,94r.9.2
189,šbi,94v.3.7
189,šbi,95r1.2.2
189,šbi,95r1.2.3
189,šbi,95r1.2.7
189,šbi,95r1.2.9
189,šbi,95r1.7.8
189,šbi,95r1.9.5
189,šbi,95r1.11.3
189,šbi,95r2.6.7
189,šbi,103v.46.6
189,šbi,104r.13.11
189,šbi,104v.16.8
189,šbi,105r.18.12
189,šbi,106r.2.6
189,šbi,106r.18.11
189,šbi,106r.35.4
189,šbi,106v.3.10
189,šbi,106v.23.6
189,šbi,106v.26.5
189,šbi,106v.42.9
189,šbi,108r.4.3
189,šbi,108r.7.7
189,šbi,108r.17.6
189,šbi,108r.27.11
189,šbi,108r.33.6
189,šbi,108r.36.7
189,šbi,108r.50.3
189,šbi,112r.12.4
189,šbi,112r.23.7
189,šbi,112v.36.5
189,šbi,114r.5.4
189,šbi,114r.5.12
189,šbi,114r.28.9
189,šbi,114r.32.8
189,šbi,114v.11.3
189,šbi,114v.20.9
189,šbi,114v.27.6
189,šbi,115r.16.8
189,šbi,115r.31.3
189,šbi,115v.23.3
189,šbi,115v.28.8
189,šbi,116r.7.2
189,šbi,116r.12.12
189 e1c89,šbi mškbi,103v.43.8
189 g8am,šbi hbuŋg,114r.22.6
189 k9,šbi ħi,95v2.2.5
189h1c89,šbicškbi,107r.9.8
18A,šbk',69v.3rd_ring.10
18aZ8an9,šbuŋsburgi,72r1.2nd_ring.4
18ae,šbum,33r.3.6
18ae,šbum,34r.12.7
18ae,šbum,76r.45.7
18ae,šbum,83r.bottom_left_3.4
18ae,šbum,85r1.11.6
18ae,šbum,86v6.3.3
18ae,šbum,86v6.3.10
18ae,šbum,86v6.8.8
18ae,šbum,105v.36.7
18ae,šbum,106v.4.6
18ae,šbum,108r.27.7
18ae,šbum,112v.46.9
18ae,šbum,114v.16.8
18ae,šbum,115v.33.4
18ae a,šbum u,107r.25.10
18ae189,šbumšbi,34v.1.7
18ae79,šbumfi,106r.40.11
18ae9,šbumi,34r.3.3
18ae9,šbumi,103r.30.9
18ae9,šbumi,112v.16.9
18aie,šburm,68v3.spiral_5.3
18am,šbuŋg,34v.4.5
18am,šbuŋg,95r1.8.2
18am,šbuŋg,95r2.9.6
18am,šbuŋg,105v.36.9
18am,šbuŋg,106v.24.5
18am,šbuŋg,112v.17.5
18am,šbuŋg,114r.10.4
18am,šbuŋg,114v.8.4
18am,šbuŋg,114v.16.7
18am,šbuŋg,114v.21.4
18am,šbuŋg,115v.9.2
18an,šburg,39r.1.3
18an,šburg,42r.14.4
18an,šburg,95r1.7.4
18an,šburg,113r.20.6
18an,šburg,115v.15.7
18ap,šbun,46r.6.12
18ap,šbun,76r.4.13
18ap,šbun,106r.16.12
18ap,šbun,112v.34.8
18ay,šbus,73r.3rd_ring.9
18ay,šbus,76v.21.3
18ay,šbus,78r.39.3
18ay,šbus,86v4.2nd_ring.18
18ay,šbus,86v6.4.9
18ay,šbus,rose.nwest_ring.10
18ay,šbus,rose.east_ring.23
18ay,šbus,rose.neast_ring.11
18ay,šbus,103r.4.6
18ay,šbus,104r.19.2
18ay,šbus,104v.20.11
18ay,šbus,108r.6.11
18ay,šbus,108r.24.9
18ay,šbus,108r.35.4
18ay,šbus,114r.34.4
18ay,šbus,114r.45.5
18ay,šbus,115v.2.8
18az,šburs,86v4.outer_ring.18
18az,šburs,114r.16.7
18azo8,šbursob,114r.9.6
18c79,šbkfi,105r.26.11
18c89,šbkbi,114r.7.5
18o,šbo,113r.5.9
18o8 am,šbob uŋg,114r.10.2
18oe,šbom,114r.5.8
18oe9,šbomi,22r.7.5
18os,šbol,105v.15.7
18oy,šbos,48v.10.6
18oy,šbos,104v.16.3
18oy,šbos,104v.27.7
18oy,šbos,105v.4.4
18oy,šbos,107v.5.4
18oy,šbos,114v.20.8
18oy,šbos,115r.22.7
19,ši,1r.19.8
19,ši,1v.6.8
19,ši,2r.3.5
19,ši,2r.11.3
19,ši,2r.12.2
19,ši,2v.6.6
19,ši,3v.4.3
19,ši,4r.3.3
19,ši,4r.4.2
19,ši,4v.2.3
19,ši,5r.3.3
19,ši,6r.4.7
19,ši,6r.10.3
19,ši,6v.15.4
19,ši,6v.19.3
19,ši,8r.4.8
19,ši,8r.13.6
19,ši,9v.9.2
19,ši,9v.10.4
19,ši,10r.6.7
19,ši,10r.9.4
19,ši,11r.4.2
19,ši,13v.3.3
19,ši,13v.7.3
19,ši,13v.10.2
19,ši,14r.13.2
19,ši,14v.2.4
19,ši,14v.4.2
19,ši,15r.12.4
19,ši,15v.7.5
19,ši,15v.7.7
19,ši,16r.11.6
19,ši,17r.3.3
19,ši,18v.6.5
19,ši,19r.3.2
19,ši,20r.6.6
19,ši,20v.3.6
19,ši,20v.8.5
19,ši,20v.10.5
19,ši,21r.3.4
19,ši,22r.11.10
19,ši,23r.1.2
19,ši,23v.2.2
19,ši,23v.10.2
19,ši,25r.2.8
19,ši,26v.7.4
19,ši,27r.3.5
19,ši,27r.3.7
19,ši,27r.4.4
19,ši,27r.6.1
19,ši,27r.10.4
19,ši,27v.4.2
19,ši,28r.5.3
19,ši,28v.3.3
19,ši,28v.7.8
19,ši,28v.8.7
19,ši,29r.1.5
19,ši,29r.2.9
19,ši,29v.8.6
19,ši,29v.9.4
19,ši,30v.2.2
19,ši,30v.2.8
19,ši,31r.4.2
19,ši,32v.2.3
19,ši,32v.4.8
19,ši,32v.11.3
19,ši,33v.8.8
19,ši,34v.7.4
19,ši,35r.12.2
19,ši,35r.12.4
19,ši,36r.4.6
19,ši,36r.5.8
19,ši,37r.9.4
19,ši,37r.10.4
19,ši,38r.4.4
19,ši,38v.7.3
19,ši,42r.5.4
19,ši,42r.7.2
19,ši,42r.11.8
19,ši,42v.10.3
19,ši,42v.14.2
19,ši,43v.15.4
19,ši,45v.3.7
19,ši,46r.8.2
19,ši,47r.3.3
19,ši,47r.8.3
19,ši,47v.11.4
19,ši,47v.11.9
19,ši,47v.12.1
19,ši,47v.12.4
19,ši,47v.12.5
19,ši,49r.8.3
19,ši,49v.20.3
19,ši,51v.2.5
19,ši,52v.2.8
19,ši,54v.5.5
19,ši,56r.1.5
19,ši,56r.1.8
19,ši,56r.2.5
19,ši,58r.8.4
19,ši,58r.21.7
19,ši,67r1.2nd_ring.12
19,ši,67r2.red_outer_ring.23
19,ši,67v1.center_17.2
19,ši,68v2.outer_ring.31
19,ši,69r.2.7
19,ši,69r.3.5
19,ši,69v.2nd_ring.21
19,ši,70r1.2nd_ring.27
19,ši,71r.outer_ring.18
19,ši,72r2.outer_ring.31
19,ši,72r3.3rd_ring.35
19,ši,75r.7.6
19,ši,75r.16.6
19,ši,76r.23.12
19,ši,77r.14.6
19,ši,77v.6.12
19,ši,77v.21.4
19,ši,78v.4.2
19,ši,79r.5.13
19,ši,81v.16.6
19,ši,81v.19.10
19,ši,85r1.3.5
19,ši,85r2.quad_4_2.5
19,ši,86v4.2nd_ring.8
19,ši,86v6.43.6
19,ši,86v3.south_3.2
19,ši,rose.east_center_2.4
19,ši,88r.8.4
19,ši,89r2.2.5
19,ši,89v2.12.6
19,ši,90v2.3.8
19,ši,94r.8.7
19,ši,95r1.4.9
19,ši,95v1.7.4
19,ši,99v.labels_top.3
19,ši,101r1-r2.2.17
19,ši,101r1-r2.5.14
19,ši,102v2.2.3
19,ši,104v.18.7
19,ši,106r.27.6
19,ši,106r.44.4
19,ši,106v.42.10
19,ši,111v.2.11
19,ši,111v.19.10
19,ši,113r.10.4
19,ši,114v.21.3
19,ši,115r.21.6
19,ši,116r.27.8
19,ši,116r.45.5
19 89,ši bi,16v.10.2
19 h19,ši cši,16v.3.5
19 h19,ši cši,18r.2.3
19 h9,ši ci,21r.10.3
19 hC89,ši cθbi,112v.17.4
19 ham,ši cuŋg,107r.43.6
19 hc9,ši cki,4v.14.2
19 hc9,ši cki,56r.2.6
19 hoe,ši com,15r.15.3
19 k 1oe,ši ħ šom,27r.8.2
19 k19,ši ħši,9r.7.3
19 kos,ši ħol,69r.outside_ring.30
191Co,šišθo,68v3.spiral_1.1
194oe89,šiñombi,28r.1.7
198,šib,29v.10.5
1989,šibi,28v.2.3
1989,šibi,68v3.4.3
19W1y,šicšs,67r2.red_outer_ring.22
19f 1ay,šiħ šus,47r.8.8
19g19,šihši,16v.7.2
19h19,šicši,8v.2.6
19h19,šicši,68r2.5.5
19h9,šici,2r.12.10
19h9,šici,9r.7.7
19h9,šici,10v.7.2
19h9,šici,11v.4.3
19h9,šici,47v.11.6
19h9,šici,69r.radial_19.4
19hae79,šicumfi,58r.37.4
19hae8,šicumb,18r.9.4
19hay,šicus,29v.10.6
19hay,šicus,69v.outer_ring.6
19hcoy,šickos,113r.8.10
19j,ših,66r.1.4
19j1ap,šihšun,17r.9.5
19j1c9,šihški,26r.1.5
19k9,šiħi,9v.9.4
19k9,šiħi,16v.5.2
19k9,šiħi,34r.3.2
19k9,šiħi,35v.3.3
19kayom,šiħusoŋg,36r.5.10
19kcc9,šiħkki,79r.28.6
19kco89,šiħkobi,104r.17.8
1A 2aN,šk' šug,36v.7.5
1A yKam,šk' sjuŋg,20v.6.7
1A89,šk'bi,112r.42.7
1Ae,šk'm,56r.2.2
1Ae,šk'm,69v.2nd_ring.2
1Ae,šk'm,70r2.2nd_ring.23
1Ae,šk'm,82v.22.4
1Ae occ89,šk'm okkbi,114r.29.1
1Ah9,šk'ci,17r.2.2
1Aham,šk'cuŋg,86v6.44.4
1Ahan,šk'curg,113r.31.11
1Ahaz,šk'curs,113v.23.6
1Akae,šk'ħum,93r.22.3
1Akam,šk'ħuŋg,8r.5.10
1Am,šk'ŋg,20r.1.7
1Asay,šk'lus,72r2.4th_ring.7
1Ay,šk's,72r1.2nd_ring.8
1Ay,šk's,101v2-v1.2.7
1Ayoy,šk'sos,37v.11.2
1C*,šθn,72r3.3rd_ring.26
1C79,šθfi,72r1.3rd_ring.18
1C79,šθfi,72v1.outer_ring.36
1C79,šθfi,79r.42.8
1C79,šθfi,82r.30.8
1C79,šθfi,104v.41.6
1C79,šθfi,111v.42.6
1C79,šθfi,112v.17.3
1C79,šθfi,116r.26.7
1C8,šθb,104v.29.12
1C8,šθb,104v.42.9
1C8,šθb,114r.2.8
1C8 am,šθb uŋg,112v.24.8
1C8(,šθbi,75v.7.2
1C8(,šθbi,76v.6.9
1C89,šθbi,33r.4.9
1C89,šθbi,66r.29.6
1C89,šθbi,75v.22.8
1C89,šθbi,76r.20.9
1C89,šθbi,76v.9.7
1C89,šθbi,76v.20.8
1C89,šθbi,77r.10.2
1C89,šθbi,77r.10.8
1C89,šθbi,77r.29.5
1C89,šθbi,77r.35.3
1C89,šθbi,77r.36.4
1C89,šθbi,79r.32.2
1C89,šθbi,83v.22.2
1C89,šθbi,83v.26.3
1C89,šθbi,88v.8.7
1C89,šθbi,89r2.2.10
1C89,šθbi,104v.6.10
1C89,šθbi,104v.7.10
1C89,šθbi,104v.10.2
1C89,šθbi,104v.32.8
1C89,šθbi,104v.42.4
1C89,šθbi,105r.13.9
1C89,šθbi,108r.38.2
1C89,šθbi,108v.33.10
1C89,šθbi,111r.8.5
1C89,šθbi,112v.17.6
1C89,šθbi,112v.25.4
1C89,šθbi,114r.17.2
1C89,šθbi,115r.14.8
1C89,šθbi,115r.22.10
1C8aes,šθbuml,67v1.center_6.3
1C8an,šθburg,114r.31.3
1C8an,šθburg,114v.5.4
1C8ay,šθbus,104r.29.4
1C9,šθi,8r.9.2
1C9,šθi,20r.6.4
1C9,šθi,35r.4.4
1C9,šθi,35r.5.5
1C9,šθi,49v.26.4
1C9,šθi,50v.2.9
1C9,šθi,52r.8.2
1C9,šθi,52r.8.7
1C9,šθi,54r.7.7
1C9,šθi,58r.9.2
1C9,šθi,70r2.2.2
